cellid,layer,cell_type,cell_subtype
258279044,L1,glial,astrocyte
272264889,L1,glial,astrocyte
272367447,L1,glial,astrocyte
272500389,L1,glial,astrocyte
272996600,L1,glial,astrocyte
286632262,L1,glial,astrocyte
286706241,L1,glial,astrocyte
286780310,L1,glial,astrocyte
329135766,L1,glial,astrocyte
329445529,L1,glial,astrocyte
374298147,L1,glial,astrocyte
389204353,L1,glial,astrocyte
417458580,L1,glial,astrocyte
418699890,L1,glial,astrocyte
432279138,L1,glial,astrocyte
446222995,L1,glial,astrocyte
447040047,L1,glial,astrocyte
447083921,L1,glial,astrocyte
447258991,L1,glial,astrocyte
461407741,L1,glial,astrocyte
475760180,L1,glial,astrocyte
475862151,L1,glial,astrocyte
476387728,L1,glial,astrocyte
476899462,L1,glial,astrocyte
490536459,L1,glial,astrocyte
504261895,L1,glial,astrocyte
505210969,L1,glial,astrocyte
519330274,L1,glial,astrocyte
549494652,L1,glial,astrocyte
563249964,L1,glial,astrocyte
577076541,L1,glial,astrocyte
622106211,L1,glial,astrocyte
622646374,L1,glial,astrocyte
680100966,L1,glial,astrocyte
680304858,L1,glial,astrocyte
680408764,L1,glial,astrocyte
753820442,L1,glial,astrocyte
768072025,L1,glial,astrocyte
781518804,L1,glial,astrocyte
781987221,L1,glial,astrocyte
782847693,L1,glial,astrocyte
810634106,L1,glial,astrocyte
811349852,L1,glial,astrocyte
811553968,L1,glial,astrocyte
825118553,L1,glial,astrocyte
840755680,L1,glial,astrocyte
854042268,L1,glial,astrocyte
855795112,L1,glial,astrocyte
869885298,L1,glial,astrocyte
869958152,L1,glial,astrocyte
870176700,L1,glial,astrocyte
883317637,L1,glial,astrocyte
884500452,L1,glial,astrocyte
884675422,L1,glial,astrocyte
898196400,L1,glial,astrocyte
942845761,L1,glial,astrocyte
957767494,L1,glial,astrocyte
970923617,L1,glial,astrocyte
985817344,L1,glial,astrocyte
986371117,L1,glial,astrocyte
1016142420,L1,glial,astrocyte
1016244708,L1,glial,astrocyte
1030349492,L1,glial,astrocyte
1030350177,L1,glial,astrocyte
1043723715,L1,glial,astrocyte
1058545074,L1,glial,astrocyte
1073013085,L1,glial,astrocyte
1074137430,L1,glial,astrocyte
1074328067,L1,glial,astrocyte
1074489316,L1,glial,astrocyte
1087600742,L1,glial,astrocyte
1088987135,L1,glial,astrocyte
1102054623,L1,glial,astrocyte
1102595104,L1,glial,astrocyte
1102712061,L1,glial,astrocyte
1131607422,L1,glial,astrocyte
1131651160,L1,glial,astrocyte
1132557094,L1,glial,astrocyte
1146515442,L1,glial,astrocyte
1160372017,L1,glial,astrocyte
1174563483,L1,glial,astrocyte
1176023607,L1,glial,astrocyte
1176520869,L1,glial,astrocyte
1190639091,L1,glial,astrocyte
1191120796,L1,glial,astrocyte
1204159222,L1,glial,astrocyte
1204495375,L1,glial,astrocyte
1219680591,L1,glial,astrocyte
1220090094,L1,glial,astrocyte
1277208586,L1,glial,astrocyte
1278274483,L1,glial,astrocyte
1292510974,L1,glial,astrocyte
1307126835,L1,glial,astrocyte
1320880179,L1,glial,astrocyte
1351395751,L1,glial,astrocyte
1365063562,L1,glial,astrocyte
1379196627,L1,glial,astrocyte
1380014274,L1,glial,astrocyte
1394251015,L1,glial,astrocyte
1394294073,L1,glial,astrocyte
1395141278,L1,glial,astrocyte
1408982494,L1,glial,astrocyte
1409348250,L1,glial,astrocyte
1423977826,L1,glial,astrocyte
1438008696,L1,glial,astrocyte
1438535680,L1,glial,astrocyte
1451748946,L1,glial,astrocyte
1451837215,L1,glial,astrocyte
1453062671,L1,glial,astrocyte
1453106800,L1,glial,astrocyte
1481959344,L1,glial,astrocyte
1495638993,L1,glial,astrocyte
1495990003,L1,glial,astrocyte
1496777906,L1,glial,astrocyte
1510445343,L1,glial,astrocyte
1538858736,L1,glial,astrocyte
1539530684,L1,glial,astrocyte
1554160890,L1,glial,astrocyte
1554219346,L1,glial,astrocyte
1569608486,L1,glial,astrocyte
1583756735,L1,glial,astrocyte
1598241131,L1,glial,astrocyte
1598679003,L1,glial,astrocyte
1612521519,L1,glial,astrocyte
1627574069,L1,glial,astrocyte
1642014252,L1,glial,astrocyte
1656308935,L1,glial,astrocyte
1656644868,L1,glial,astrocyte
1657023929,L1,glial,astrocyte
1670953424,L1,glial,astrocyte
1671231031,L1,glial,astrocyte
1671348297,L1,glial,astrocyte
1685730408,L1,glial,astrocyte
1699615908,L1,glial,astrocyte
1700097766,L1,glial,astrocyte
1714917419,L1,glial,astrocyte
1715078235,L1,glial,astrocyte
1728846712,L1,glial,astrocyte
1729985914,L1,glial,astrocyte
1730306480,L1,glial,astrocyte
1743666925,L1,glial,astrocyte
1743915823,L1,glial,astrocyte
1744528094,L1,glial,astrocyte
1757684425,L1,glial,astrocyte
1758471587,L1,glial,astrocyte
1758501188,L1,glial,astrocyte
1759393150,L1,glial,astrocyte
1786842798,L1,glial,astrocyte
1787732799,L1,glial,astrocyte
1801866009,L1,glial,astrocyte
1830922100,L1,glial,astrocyte
1831740380,L1,glial,astrocyte
1861073636,L1,glial,astrocyte
1875324885,L1,glial,astrocyte
1889326624,L1,glial,astrocyte
1889356142,L1,glial,astrocyte
1889924725,L1,glial,astrocyte
1904321863,L1,glial,astrocyte
1904875850,L1,glial,astrocyte
1918922829,L1,glial,astrocyte
1932909909,L1,glial,astrocyte
1947189561,L1,glial,astrocyte
1961849865,L1,glial,astrocyte
1962565718,L1,glial,astrocyte
1963076012,L1,glial,astrocyte
1977793335,L1,glial,astrocyte
1992117236,L1,glial,astrocyte
2006631090,L1,glial,astrocyte
2020035432,L1,glial,astrocyte
2020575243,L1,glial,astrocyte
2034854850,L1,glial,astrocyte
2049689745,L1,glial,astrocyte
2065005408,L1,glial,astrocyte
2079081021,L1,glial,astrocyte
2079475335,L1,glial,astrocyte
