cellid,layer,cell_type,cell_subtype
1449763370,L2,neuron,bipolar
1946459333,L2,neuron,bipolar
1975633226,L2,neuron,bipolar
2281071731,L2,neuron,bipolar
2587810028,L2,neuron,bipolar
2892721051,L2,neuron,bipolar
4001141262,L2,neuron,bipolar
4233006294,L2,neuron,bipolar
5529092085,L2,neuron,bipolar
27245162028,L2,neuron,bipolar
28892036786,L2,neuron,bipolar
29052049928,L2,neuron,bipolar
29343267425,L2,neuron,bipolar
30451512536,L2,neuron,bipolar
30902302795,L2,neuron,bipolar
30931184003,L2,neuron,bipolar
36242208593,L2,neuron,bipolar
36329508730,L2,neuron,bipolar
37014339461,L2,neuron,bipolar
37552429430,L2,neuron,bipolar
37580916292,L2,neuron,bipolar
38966756729,L2,neuron,bipolar
39155925581,L2,neuron,bipolar
45208786056,L2,neuron,bipolar
57017811660,L2,neuron,bipolar
1346358430,L3,neuron,bipolar
46781166937,L3,neuron,bipolar
59172452028,L3,neuron,bipolar
2393893049,L4,neuron,bipolar
2800720417,L4,neuron,bipolar
3454714070,L4,neuron,bipolar
3586970177,L4,neuron,bipolar
3718276923,L4,neuron,bipolar
3850386573,L4,neuron,bipolar
3907840855,L4,neuron,bipolar
4096340441,L4,neuron,bipolar
4214681004,L4,neuron,bipolar
4505081202,L4,neuron,bipolar
4943635792,L4,neuron,bipolar
5073381104,L4,neuron,bipolar
5541328846,L4,neuron,bipolar
5774755285,L4,neuron,bipolar
29135319029,L4,neuron,bipolar
29759263767,L4,neuron,bipolar
29819084477,L4,neuron,bipolar
30211019506,L4,neuron,bipolar
31453635917,L4,neuron,bipolar
32033938693,L4,neuron,bipolar
32630943701,L4,neuron,bipolar
32908508799,L4,neuron,bipolar
33373360523,L4,neuron,bipolar
37999250214,L4,neuron,bipolar
40097749911,L4,neuron,bipolar
41687418500,L4,neuron,bipolar
56049502603,L4,neuron,bipolar
56997530540,L4,neuron,bipolar
73517597355,L4,neuron,bipolar
2887610997,L5,neuron,bipolar
3006113857,L5,neuron,bipolar
3105136382,L5,neuron,bipolar
3223274014,L5,neuron,bipolar
3308995863,L5,neuron,bipolar
3338402126,L5,neuron,bipolar
3338693880,L5,neuron,bipolar
3470629528,L5,neuron,bipolar
3471636002,L5,neuron,bipolar
3570894156,L5,neuron,bipolar
3571083397,L5,neuron,bipolar
3571201273,L5,neuron,bipolar
3585188282,L5,neuron,bipolar
3643825567,L5,neuron,bipolar
3731387788,L5,neuron,bipolar
3803721169,L5,neuron,bipolar
3876114143,L5,neuron,bipolar
3891211258,L5,neuron,bipolar
3919434378,L5,neuron,bipolar
3921319354,L5,neuron,bipolar
3934137728,L5,neuron,bipolar
3965500400,L5,neuron,bipolar
4036738505,L5,neuron,bipolar
4051822360,L5,neuron,bipolar
4094208392,L5,neuron,bipolar
4108298238,L5,neuron,bipolar
4123132637,L5,neuron,bipolar
4128739414,L5,neuron,bipolar
4138041560,L5,neuron,bipolar
4138580687,L5,neuron,bipolar
4139939668,L5,neuron,bipolar
4153430089,L5,neuron,bipolar
4153575683,L5,neuron,bipolar
4168147487,L5,neuron,bipolar
4184383998,L5,neuron,bipolar
4197686564,L5,neuron,bipolar
4212081898,L5,neuron,bipolar
4213717297,L5,neuron,bipolar
4215353416,L5,neuron,bipolar
4254688406,L5,neuron,bipolar
4268471425,L5,neuron,bipolar
4271363320,L5,neuron,bipolar
4285715192,L5,neuron,bipolar
4314128561,L5,neuron,bipolar
4314610618,L5,neuron,bipolar
4328306687,L5,neuron,bipolar
4328569728,L5,neuron,bipolar
4370328113,L5,neuron,bipolar
4373379460,L5,neuron,bipolar
4385455077,L5,neuron,bipolar
4387645213,L5,neuron,bipolar
4401165182,L5,neuron,bipolar
4401720797,L5,neuron,bipolar
4401836842,L5,neuron,bipolar
4402377014,L5,neuron,bipolar
4415590654,L5,neuron,bipolar
4429870422,L5,neuron,bipolar
4431330530,L5,neuron,bipolar
4445420826,L5,neuron,bipolar
4474214249,L5,neuron,bipolar
4489020400,L5,neuron,bipolar
4489647258,L5,neuron,bipolar
4501838736,L5,neuron,bipolar
4502817979,L5,neuron,bipolar
4516762348,L5,neuron,bipolar
4519243281,L5,neuron,bipolar
4546022793,L5,neuron,bipolar
4546182625,L5,neuron,bipolar
4546329154,L5,neuron,bipolar
4546722225,L5,neuron,bipolar
4547774204,L5,neuron,bipolar
4547948782,L5,neuron,bipolar
4589094341,L5,neuron,bipolar
4589766207,L5,neuron,bipolar
4592526340,L5,neuron,bipolar
4619362213,L5,neuron,bipolar
4633875577,L5,neuron,bipolar
4648681800,L5,neuron,bipolar
4663223744,L5,neuron,bipolar
4663924760,L5,neuron,bipolar
4677854201,L5,neuron,bipolar
4692543081,L5,neuron,bipolar
4706252842,L5,neuron,bipolar
4706574652,L5,neuron,bipolar
4707947344,L5,neuron,bipolar
4735045909,L5,neuron,bipolar
4750084977,L5,neuron,bipolar
4777842990,L5,neuron,bipolar
4781200505,L5,neuron,bipolar
4794106960,L5,neuron,bipolar
4795962497,L5,neuron,bipolar
4796545315,L5,neuron,bipolar
4822112549,L5,neuron,bipolar
4823164389,L5,neuron,bipolar
4838990553,L5,neuron,bipolar
4839209657,L5,neuron,bipolar
4839341527,L5,neuron,bipolar
4854206125,L5,neuron,bipolar
4867842710,L5,neuron,bipolar
4867885834,L5,neuron,bipolar
4911572496,L5,neuron,bipolar
4912623647,L5,neuron,bipolar
4912682244,L5,neuron,bipolar
4913382520,L5,neuron,bipolar
4927560106,L5,neuron,bipolar
4939182495,L5,neuron,bipolar
4983949173,L5,neuron,bipolar
4984051366,L5,neuron,bipolar
4984228148,L5,neuron,bipolar
5000010309,L5,neuron,bipolar
5013356149,L5,neuron,bipolar
5013794602,L5,neuron,bipolar
5025067360,L5,neuron,bipolar
5043960496,L5,neuron,bipolar
5055786972,L5,neuron,bipolar
5057553049,L5,neuron,bipolar
5070358536,L5,neuron,bipolar
5073949710,L5,neuron,bipolar
5086141554,L5,neuron,bipolar
5086230088,L5,neuron,bipolar
5087280434,L5,neuron,bipolar
5099852907,L5,neuron,bipolar
5100510137,L5,neuron,bipolar
5100685756,L5,neuron,bipolar
5101444170,L5,neuron,bipolar
5115534039,L5,neuron,bipolar
5116205095,L5,neuron,bipolar
5130091328,L5,neuron,bipolar
5131361032,L5,neuron,bipolar
5143333956,L5,neuron,bipolar
5144808371,L5,neuron,bipolar
5159278839,L5,neuron,bipolar
5159803735,L5,neuron,bipolar
5159993420,L5,neuron,bipolar
5172755723,L5,neuron,bipolar
5187808756,L5,neuron,bipolar
5202803880,L5,neuron,bipolar
5217039516,L5,neuron,bipolar
5218018257,L5,neuron,bipolar
5230662252,L5,neuron,bipolar
5232282961,L5,neuron,bipolar
5233248295,L5,neuron,bipolar
5247205432,L5,neuron,bipolar
5262799563,L5,neuron,bipolar
5275721242,L5,neuron,bipolar
5289607123,L5,neuron,bipolar
5290628570,L5,neuron,bipolar
5290978976,L5,neuron,bipolar
5303667395,L5,neuron,bipolar
5304821127,L5,neuron,bipolar
5319189326,L5,neuron,bipolar
5320400202,L5,neuron,bipolar
5320488582,L5,neuron,bipolar
5332971480,L5,neuron,bipolar
5365955112,L5,neuron,bipolar
5392251910,L5,neuron,bipolar
5405349641,L5,neuron,bipolar
5405976475,L5,neuron,bipolar
5406736063,L5,neuron,bipolar
5407494994,L5,neuron,bipolar
5408401469,L5,neuron,bipolar
5420709385,L5,neuron,bipolar
5420840295,L5,neuron,bipolar
5421148001,L5,neuron,bipolar
5421336745,L5,neuron,bipolar
5434595610,L5,neuron,bipolar
5436507845,L5,neuron,bipolar
5464747312,L5,neuron,bipolar
5478616461,L5,neuron,bipolar
5539020957,L5,neuron,bipolar
5567638733,L5,neuron,bipolar
5567711747,L5,neuron,bipolar
5581378299,L5,neuron,bipolar
5581510029,L5,neuron,bipolar
5595586017,L5,neuron,bipolar
5597089594,L5,neuron,bipolar
5610302956,L5,neuron,bipolar
5624219241,L5,neuron,bipolar
5641930003,L5,neuron,bipolar
5697237210,L5,neuron,bipolar
5698348019,L5,neuron,bipolar
5698624297,L5,neuron,bipolar
5727870456,L5,neuron,bipolar
5756210897,L5,neuron,bipolar
5757365776,L5,neuron,bipolar
5770826833,L5,neuron,bipolar
5772886684,L5,neuron,bipolar
5784625240,L5,neuron,bipolar
5785530020,L5,neuron,bipolar
5814702337,L5,neuron,bipolar
5830048645,L5,neuron,bipolar
5843802036,L5,neuron,bipolar
5844196696,L5,neuron,bipolar
5844330471,L5,neuron,bipolar
5872566163,L5,neuron,bipolar
5902557309,L5,neuron,bipolar
5902646056,L5,neuron,bipolar
5916077620,L5,neuron,bipolar
5917697904,L5,neuron,bipolar
5930663917,L5,neuron,bipolar
5931028416,L5,neuron,bipolar
5960391297,L5,neuron,bipolar
5976525158,L5,neuron,bipolar
5977227354,L5,neuron,bipolar
6006019472,L5,neuron,bipolar
6018446166,L5,neuron,bipolar
6019146684,L5,neuron,bipolar
6032010176,L5,neuron,bipolar
6032914189,L5,neuron,bipolar
6048040825,L5,neuron,bipolar
6063256489,L5,neuron,bipolar
6077169830,L5,neuron,bipolar
6105700421,L5,neuron,bipolar
6106284240,L5,neuron,bipolar
6107116586,L5,neuron,bipolar
6120257502,L5,neuron,bipolar
6120520194,L5,neuron,bipolar
6135078507,L5,neuron,bipolar
6136362338,L5,neuron,bipolar
6149094594,L5,neuron,bipolar
6149503191,L5,neuron,bipolar
6149679443,L5,neuron,bipolar
6150468346,L5,neuron,bipolar
6163286531,L5,neuron,bipolar
6164527615,L5,neuron,bipolar
6179202111,L5,neuron,bipolar
6195014585,L5,neuron,bipolar
