cellid,layer,cell_type,cell_subtype
300928228,L1,neuron,interneuron
302124216,L1,neuron,interneuron
316084337,L1,neuron,interneuron
330158986,L1,neuron,interneuron
343606869,L1,neuron,interneuron
344002075,L1,neuron,interneuron
358180009,L1,neuron,interneuron
358470011,L1,neuron,interneuron
388402067,L1,neuron,interneuron
389161997,L1,neuron,interneuron
402243288,L1,neuron,interneuron
418101442,L1,neuron,interneuron
433198784,L1,neuron,interneuron
447126518,L1,neuron,interneuron
460458122,L1,neuron,interneuron
475060082,L1,neuron,interneuron
490361490,L1,neuron,interneuron
490988719,L1,neuron,interneuron
491470940,L1,neuron,interneuron
504524120,L1,neuron,interneuron
505559910,L1,neuron,interneuron
547669847,L1,neuron,interneuron
577194056,L1,neuron,interneuron
578506580,L1,neuron,interneuron
607796980,L1,neuron,interneuron
621478193,L1,neuron,interneuron
636444441,L1,neuron,interneuron
664273973,L1,neuron,interneuron
664609550,L1,neuron,interneuron
708018837,L1,neuron,interneuron
738183508,L1,neuron,interneuron
780980674,L1,neuron,interneuron
781431706,L1,neuron,interneuron
810707256,L1,neuron,interneuron
811525279,L1,neuron,interneuron
811787484,L1,neuron,interneuron
853649072,L1,neuron,interneuron
854320424,L1,neuron,interneuron
883449860,L1,neuron,interneuron
883726166,L1,neuron,interneuron
899232962,L1,neuron,interneuron
913133483,L1,neuron,interneuron
927486043,L1,neuron,interneuron
942670284,L1,neuron,interneuron
943050752,L1,neuron,interneuron
958074601,L1,neuron,interneuron
986693191,L1,neuron,interneuron
987088265,L1,neuron,interneuron
1015938656,L1,neuron,interneuron
1058252732,L1,neuron,interneuron
1117240930,L1,neuron,interneuron
1118086339,L1,neuron,interneuron
1131037838,L1,neuron,interneuron
1131360148,L1,neuron,interneuron
1131564543,L1,neuron,interneuron
1132060745,L1,neuron,interneuron
1146077537,L1,neuron,interneuron
1174972633,L1,neuron,interneuron
1190639030,L1,neuron,interneuron
1277339675,L1,neuron,interneuron
1335057414,L1,neuron,interneuron
1392674067,L1,neuron,interneuron
1394191531,L1,neuron,interneuron
1407713303,L1,neuron,interneuron
1408047444,L1,neuron,interneuron
1409333198,L1,neuron,interneuron
1422824150,L1,neuron,interneuron
1423554082,L1,neuron,interneuron
1452668296,L1,neuron,interneuron
1496165980,L1,neuron,interneuron
1540493416,L1,neuron,interneuron
1584559994,L1,neuron,interneuron
1613381323,L1,neuron,interneuron
1627574992,L1,neuron,interneuron
1641546980,L1,neuron,interneuron
1656542260,L1,neuron,interneuron
1684707204,L1,neuron,interneuron
1685612723,L1,neuron,interneuron
1685875680,L1,neuron,interneuron
1700024740,L1,neuron,interneuron
1714084950,L1,neuron,interneuron
1715457604,L1,neuron,interneuron
1729080661,L1,neuron,interneuron
1787105373,L1,neuron,interneuron
1831900660,L1,neuron,interneuron
1846940343,L1,neuron,interneuron
1917973755,L1,neuron,interneuron
1918849113,L1,neuron,interneuron
1976216768,L1,neuron,interneuron
1990541441,L1,neuron,interneuron
2004923225,L1,neuron,interneuron
2005856933,L1,neuron,interneuron
2049062003,L1,neuron,interneuron
2065122584,L1,neuron,interneuron
2079227335,L1,neuron,interneuron
2079651031,L1,neuron,interneuron
2137208420,L1,neuron,interneuron
2138112811,L1,neuron,interneuron
2152728378,L1,neuron,interneuron
2196355634,L1,neuron,interneuron
2225484605,L1,neuron,interneuron
2238904595,L1,neuron,interneuron
2282603804,L1,neuron,interneuron
2298314345,L1,neuron,interneuron
2312712183,L1,neuron,interneuron
2325998949,L1,neuron,interneuron
2414816333,L1,neuron,interneuron
2414816848,L1,neuron,interneuron
2427883788,L1,neuron,interneuron
2443974770,L1,neuron,interneuron
2471920132,L1,neuron,interneuron
2487586995,L1,neuron,interneuron
2502408426,L1,neuron,interneuron
2530864514,L1,neuron,interneuron
2573485097,L1,neuron,interneuron
2573528477,L1,neuron,interneuron
2574347429,L1,neuron,interneuron
2575076408,L1,neuron,interneuron
2617623934,L1,neuron,interneuron
2647206763,L1,neuron,interneuron
2661588172,L1,neuron,interneuron
2677122575,L1,neuron,interneuron
2704908258,L1,neuron,interneuron
2735322281,L1,neuron,interneuron
2735615609,L1,neuron,interneuron
2777213733,L1,neuron,interneuron
2777301746,L1,neuron,interneuron
2778891671,L1,neuron,interneuron
2821834529,L1,neuron,interneuron
2851284771,L1,neuron,interneuron
2879610919,L1,neuron,interneuron
2939679657,L1,neuron,interneuron
2952498956,L1,neuron,interneuron
2996942996,L1,neuron,interneuron
3025210803,L1,neuron,interneuron
3039637673,L1,neuron,interneuron
3112232654,L1,neuron,interneuron
3112365418,L1,neuron,interneuron
3112628145,L1,neuron,interneuron
3113022318,L1,neuron,interneuron
3142779153,L1,neuron,interneuron
3143290274,L1,neuron,interneuron
3156431067,L1,neuron,interneuron
3170841289,L1,neuron,interneuron
3172213830,L1,neuron,interneuron
3185662264,L1,neuron,interneuron
3201547056,L1,neuron,interneuron
3301154728,L1,neuron,interneuron
3303039498,L1,neuron,interneuron
3345951565,L1,neuron,interneuron
3346331321,L1,neuron,interneuron
3360318069,L1,neuron,interneuron
3389652538,L1,neuron,interneuron
3403480065,L1,neuron,interneuron
3418182519,L1,neuron,interneuron
3476966495,L1,neuron,interneuron
3521018165,L1,neuron,interneuron
3549519370,L1,neuron,interneuron
3578647965,L1,neuron,interneuron
3594328405,L1,neuron,interneuron
3594431669,L1,neuron,interneuron
3594737701,L1,neuron,interneuron
3595029053,L1,neuron,interneuron
3608346614,L1,neuron,interneuron
3622801184,L1,neuron,interneuron
3623486412,L1,neuron,interneuron
3637737369,L1,neuron,interneuron
3638395096,L1,neuron,interneuron
3638526024,L1,neuron,interneuron
3680357754,L1,neuron,interneuron
3680606691,L1,neuron,interneuron
3695368389,L1,neuron,interneuron
3696550777,L1,neuron,interneuron
3725650869,L1,neuron,interneuron
3738498474,L1,neuron,interneuron
3739243388,L1,neuron,interneuron
3797122866,L1,neuron,interneuron
3811328569,L1,neuron,interneuron
3812935125,L1,neuron,interneuron
3827141799,L1,neuron,interneuron
3827506176,L1,neuron,interneuron
3856591986,L1,neuron,interneuron
3870871266,L1,neuron,interneuron
3900453597,L1,neuron,interneuron
3914529842,L1,neuron,interneuron
3943876735,L1,neuron,interneuron
3986306672,L1,neuron,interneuron
3987125234,L1,neuron,interneuron
4002616369,L1,neuron,interneuron
4030168185,L1,neuron,interneuron
4044390785,L1,neuron,interneuron
4089623446,L1,neuron,interneuron
4146669672,L1,neuron,interneuron
4205381458,L1,neuron,interneuron
4234523851,L1,neuron,interneuron
4248482323,L1,neuron,interneuron
4262996986,L1,neuron,interneuron
4336760370,L1,neuron,interneuron
4380314835,L1,neuron,interneuron
4395105438,L1,neuron,interneuron
4408670292,L1,neuron,interneuron
4510862285,L1,neuron,interneuron
4525229663,L1,neuron,interneuron
4598805287,L1,neuron,interneuron
4627598544,L1,neuron,interneuron
4642650773,L1,neuron,interneuron
4657603947,L1,neuron,interneuron
4672072837,L1,neuron,interneuron
4686046478,L1,neuron,interneuron
4686512220,L1,neuron,interneuron
4715641281,L1,neuron,interneuron
4729526740,L1,neuron,interneuron
4729790880,L1,neuron,interneuron
4743983272,L1,neuron,interneuron
4861243475,L1,neuron,interneuron
4889889583,L1,neuron,interneuron
5005850706,L1,neuron,interneuron
5035900304,L1,neuron,interneuron
5195255512,L1,neuron,interneuron
5195825649,L1,neuron,interneuron
5253951379,L1,neuron,interneuron
5282497383,L1,neuron,interneuron
5414373682,L1,neuron,interneuron
5429281493,L1,neuron,interneuron
5472060932,L1,neuron,interneuron
5676695402,L1,neuron,interneuron
5704947797,L1,neuron,interneuron
5778609363,L1,neuron,interneuron
5996514814,L1,neuron,interneuron
6083989114,L1,neuron,interneuron
9268701545,L1,neuron,interneuron
10026098277,L1,neuron,interneuron
10551967962,L1,neuron,interneuron
10667944275,L1,neuron,interneuron
10726202405,L1,neuron,interneuron
11336816497,L1,neuron,interneuron
11396534358,L1,neuron,interneuron
14469023205,L1,neuron,interneuron
15080309129,L1,neuron,interneuron
18134617294,L1,neuron,interneuron
18163732347,L1,neuron,interneuron
18192920080,L1,neuron,interneuron
18382470185,L1,neuron,interneuron
18557506918,L1,neuron,interneuron
18687456361,L1,neuron,interneuron
18805227503,L1,neuron,interneuron
18891563242,L1,neuron,interneuron
