cellid,layer,cell_type,cell_subtype
329164988,L2,neuron,pyramidal
329165083,L2,neuron,pyramidal
329209038,L2,neuron,pyramidal
329384517,L2,neuron,pyramidal
329458855,L2,neuron,pyramidal
329472246,L2,neuron,pyramidal
329517693,L2,neuron,pyramidal
343561537,L2,neuron,pyramidal
343664293,L2,neuron,pyramidal
343664503,L2,neuron,pyramidal
343679509,L2,neuron,pyramidal
343827033,L2,neuron,pyramidal
357739108,L2,neuron,pyramidal
357783127,L2,neuron,pyramidal
357812369,L2,neuron,pyramidal
357812788,L2,neuron,pyramidal
357827136,L2,neuron,pyramidal
357841782,L2,neuron,pyramidal
357871008,L2,neuron,pyramidal
357916272,L2,neuron,pyramidal
357973458,L2,neuron,pyramidal
358060948,L2,neuron,pyramidal
358646114,L2,neuron,pyramidal
358938792,L2,neuron,pyramidal
372238192,L2,neuron,pyramidal
372560363,L2,neuron,pyramidal
372691296,L2,neuron,pyramidal
386796331,L2,neuron,pyramidal
386956175,L2,neuron,pyramidal
387321868,L2,neuron,pyramidal
387760210,L2,neuron,pyramidal
401089908,L2,neuron,pyramidal
401368404,L2,neuron,pyramidal
401485993,L2,neuron,pyramidal
401732378,L2,neuron,pyramidal
401951093,L2,neuron,pyramidal
401996095,L2,neuron,pyramidal
402551402,L2,neuron,pyramidal
416158122,L2,neuron,pyramidal
416332993,L2,neuron,pyramidal
416597459,L2,neuron,pyramidal
416640370,L2,neuron,pyramidal
430803167,L2,neuron,pyramidal
431242879,L2,neuron,pyramidal
431620251,L2,neuron,pyramidal
444864175,L2,neuron,pyramidal
445184863,L2,neuron,pyramidal
445229072,L2,neuron,pyramidal
445478245,L2,neuron,pyramidal
446295770,L2,neuron,pyramidal
459597338,L2,neuron,pyramidal
459698247,L2,neuron,pyramidal
460077552,L2,neuron,pyramidal
474241157,L2,neuron,pyramidal
474388018,L2,neuron,pyramidal
475175405,L2,neuron,pyramidal
476095998,L2,neuron,pyramidal
503063606,L2,neuron,pyramidal
504028512,L2,neuron,pyramidal
517825990,L2,neuron,pyramidal
532483880,L2,neuron,pyramidal
532996832,L2,neuron,pyramidal
532997033,L2,neuron,pyramidal
546925828,L2,neuron,pyramidal
547114158,L2,neuron,pyramidal
547493698,L2,neuron,pyramidal
547494306,L2,neuron,pyramidal
548327528,L2,neuron,pyramidal
561453589,L2,neuron,pyramidal
561598279,L2,neuron,pyramidal
562023484,L2,neuron,pyramidal
576024466,L2,neuron,pyramidal
576316189,L2,neuron,pyramidal
576359875,L2,neuron,pyramidal
576505953,L2,neuron,pyramidal
590479560,L2,neuron,pyramidal
590612150,L2,neuron,pyramidal
590742814,L2,neuron,pyramidal
591165299,L2,neuron,pyramidal
604950861,L2,neuron,pyramidal
605037556,L2,neuron,pyramidal
605066006,L2,neuron,pyramidal
606204923,L2,neuron,pyramidal
606323053,L2,neuron,pyramidal
607095797,L2,neuron,pyramidal
619564666,L2,neuron,pyramidal
620061010,L2,neuron,pyramidal
633932380,L2,neuron,pyramidal
633932672,L2,neuron,pyramidal
648606132,L2,neuron,pyramidal
649015684,L2,neuron,pyramidal
649554776,L2,neuron,pyramidal
662914665,L2,neuron,pyramidal
663047387,L2,neuron,pyramidal
663279808,L2,neuron,pyramidal
663470328,L2,neuron,pyramidal
663936793,L2,neuron,pyramidal
663995162,L2,neuron,pyramidal
664740839,L2,neuron,pyramidal
664974945,L2,neuron,pyramidal
677867650,L2,neuron,pyramidal
678159317,L2,neuron,pyramidal
678304099,L2,neuron,pyramidal
679108489,L2,neuron,pyramidal
692191113,L2,neuron,pyramidal
692525451,L2,neuron,pyramidal
692832056,L2,neuron,pyramidal
693197378,L2,neuron,pyramidal
693666001,L2,neuron,pyramidal
707053427,L2,neuron,pyramidal
707783858,L2,neuron,pyramidal
708061219,L2,neuron,pyramidal
722253083,L2,neuron,pyramidal
735540761,L2,neuron,pyramidal
735803013,L2,neuron,pyramidal
736532901,L2,neuron,pyramidal
736562062,L2,neuron,pyramidal
737395352,L2,neuron,pyramidal
737395636,L2,neuron,pyramidal
737803275,L2,neuron,pyramidal
750901616,L2,neuron,pyramidal
751075513,L2,neuron,pyramidal
751119348,L2,neuron,pyramidal
751294744,L2,neuron,pyramidal
752171842,L2,neuron,pyramidal
764742643,L2,neuron,pyramidal
765209242,L2,neuron,pyramidal
765706173,L2,neuron,pyramidal
779459820,L2,neuron,pyramidal
780043971,L2,neuron,pyramidal
780775692,L2,neuron,pyramidal
781418178,L2,neuron,pyramidal
781768171,L2,neuron,pyramidal
794747474,L2,neuron,pyramidal
794820508,L2,neuron,pyramidal
809422398,L2,neuron,pyramidal
810035974,L2,neuron,pyramidal
810444511,L2,neuron,pyramidal
810925730,L2,neuron,pyramidal
823467559,L2,neuron,pyramidal
825015307,L2,neuron,pyramidal
837776212,L2,neuron,pyramidal
838389431,L2,neuron,pyramidal
838522213,L2,neuron,pyramidal
840055564,L2,neuron,pyramidal
851749981,L2,neuron,pyramidal
852261673,L2,neuron,pyramidal
853531358,L2,neuron,pyramidal
866613333,L2,neuron,pyramidal
867693653,L2,neuron,pyramidal
867883939,L2,neuron,pyramidal
868074883,L2,neuron,pyramidal
881448880,L2,neuron,pyramidal
881579396,L2,neuron,pyramidal
881668053,L2,neuron,pyramidal
882105235,L2,neuron,pyramidal
882164311,L2,neuron,pyramidal
882747797,L2,neuron,pyramidal
882880193,L2,neuron,pyramidal
883419552,L2,neuron,pyramidal
883843993,L2,neuron,pyramidal
895801189,L2,neuron,pyramidal
895975779,L2,neuron,pyramidal
896035082,L2,neuron,pyramidal
896253192,L2,neuron,pyramidal
896852691,L2,neuron,pyramidal
897131027,L2,neuron,pyramidal
898823944,L2,neuron,pyramidal
910211905,L2,neuron,pyramidal
911073206,L2,neuron,pyramidal
912038743,L2,neuron,pyramidal
912226695,L2,neuron,pyramidal
927076559,L2,neuron,pyramidal
927165097,L2,neuron,pyramidal
938991021,L2,neuron,pyramidal
939837644,L2,neuron,pyramidal
940101576,L2,neuron,pyramidal
940699328,L2,neuron,pyramidal
940729175,L2,neuron,pyramidal
940875523,L2,neuron,pyramidal
940976708,L2,neuron,pyramidal
954438735,L2,neuron,pyramidal
955067750,L2,neuron,pyramidal
955432427,L2,neuron,pyramidal
955504057,L2,neuron,pyramidal
956044964,L2,neuron,pyramidal
968426213,L2,neuron,pyramidal
969068441,L2,neuron,pyramidal
969857548,L2,neuron,pyramidal
970163600,L2,neuron,pyramidal
971581833,L2,neuron,pyramidal
982881354,L2,neuron,pyramidal
983363488,L2,neuron,pyramidal
983583123,L2,neuron,pyramidal
985320716,L2,neuron,pyramidal
998854848,L2,neuron,pyramidal
999803795,L2,neuron,pyramidal
1012141341,L2,neuron,pyramidal
1013369125,L2,neuron,pyramidal
1013805852,L2,neuron,pyramidal
1014493630,L2,neuron,pyramidal
1027868129,L2,neuron,pyramidal
1028627657,L2,neuron,pyramidal
1042088756,L2,neuron,pyramidal
1043257366,L2,neuron,pyramidal
1044162101,L2,neuron,pyramidal
1070355700,L2,neuron,pyramidal
1072575548,L2,neuron,pyramidal
1072605926,L2,neuron,pyramidal
1072751582,L2,neuron,pyramidal
1086242342,L2,neuron,pyramidal
1086329521,L2,neuron,pyramidal
1086811256,L2,neuron,pyramidal
1087542412,L2,neuron,pyramidal
1099456691,L2,neuron,pyramidal
1100025830,L2,neuron,pyramidal
1101558966,L2,neuron,pyramidal
1101647060,L2,neuron,pyramidal
1102726098,L2,neuron,pyramidal
1114406890,L2,neuron,pyramidal
1114654945,L2,neuron,pyramidal
1114772716,L2,neuron,pyramidal
1128294124,L2,neuron,pyramidal
1128788725,L2,neuron,pyramidal
1128920987,L2,neuron,pyramidal
1129578680,L2,neuron,pyramidal
1130964606,L2,neuron,pyramidal
1144645406,L2,neuron,pyramidal
1158415240,L2,neuron,pyramidal
1159349630,L2,neuron,pyramidal
1160459322,L2,neuron,pyramidal
1172679820,L2,neuron,pyramidal
1173891397,L2,neuron,pyramidal
1186799015,L2,neuron,pyramidal
1187353621,L2,neuron,pyramidal
1188508464,L2,neuron,pyramidal
1201619536,L2,neuron,pyramidal
