cellid,layer,cell_type,cell_subtype
635743109,L2,neuron,spiny-stellate
2120664699,L2,neuron,spiny-stellate
2950980117,L2,neuron,spiny-stellate
27216368299,L2,neuron,spiny-stellate
28104985461,L2,neuron,spiny-stellate
28862498148,L2,neuron,spiny-stellate
37626413608,L2,neuron,spiny-stellate
38660748322,L2,neuron,spiny-stellate
38689468673,L2,neuron,spiny-stellate
29210178754,L3,neuron,spiny-stellate
32385180272,L3,neuron,spiny-stellate
3106947392,L4,neuron,spiny-stellate
3296832824,L4,neuron,spiny-stellate
3513951463,L4,neuron,spiny-stellate
3588284587,L4,neuron,spiny-stellate
3631312996,L4,neuron,spiny-stellate
3790844645,L4,neuron,spiny-stellate
3937466277,L4,neuron,spiny-stellate
4068088366,L4,neuron,spiny-stellate
4127236696,L4,neuron,spiny-stellate
4140858954,L4,neuron,spiny-stellate
4185377684,L4,neuron,spiny-stellate
4519243274,L4,neuron,spiny-stellate
5103080167,L4,neuron,spiny-stellate
5291856456,L4,neuron,spiny-stellate
5364977088,L4,neuron,spiny-stellate
21348269172,L4,neuron,spiny-stellate
29672577804,L4,neuron,spiny-stellate
29730222317,L4,neuron,spiny-stellate
30941549387,L4,neuron,spiny-stellate
31349195650,L4,neuron,spiny-stellate
38611762212,L4,neuron,spiny-stellate
42108919642,L4,neuron,spiny-stellate
3512752660,L5,neuron,spiny-stellate
3645170418,L5,neuron,spiny-stellate
3773716567,L5,neuron,spiny-stellate
3788551051,L5,neuron,spiny-stellate
3833230503,L5,neuron,spiny-stellate
3907682045,L5,neuron,spiny-stellate
3949920978,L5,neuron,spiny-stellate
3994337380,L5,neuron,spiny-stellate
4094078022,L5,neuron,spiny-stellate
4094501608,L5,neuron,spiny-stellate
4124300709,L5,neuron,spiny-stellate
4152247000,L5,neuron,spiny-stellate
4152861452,L5,neuron,spiny-stellate
4153108523,L5,neuron,spiny-stellate
4154686065,L5,neuron,spiny-stellate
4254761989,L5,neuron,spiny-stellate
4255432378,L5,neuron,spiny-stellate
4312742466,L5,neuron,spiny-stellate
4326699742,L5,neuron,spiny-stellate
4326818082,L5,neuron,spiny-stellate
4327955860,L5,neuron,spiny-stellate
4372430258,L5,neuron,spiny-stellate
4372868243,L5,neuron,spiny-stellate
4474214654,L5,neuron,spiny-stellate
4475484255,L5,neuron,spiny-stellate
4475995296,L5,neuron,spiny-stellate
4489268853,L5,neuron,spiny-stellate
4501838736,L5,neuron,spiny-stellate
4503782000,L5,neuron,spiny-stellate
4504145716,L5,neuron,spiny-stellate
4516965446,L5,neuron,spiny-stellate
4519199538,L5,neuron,spiny-stellate
4575925341,L5,neuron,spiny-stellate
4591898165,L5,neuron,spiny-stellate
4619654531,L5,neuron,spiny-stellate
4619873240,L5,neuron,spiny-stellate
4723890949,L5,neuron,spiny-stellate
4766773877,L5,neuron,spiny-stellate
4780076410,L5,neuron,spiny-stellate
4809949027,L5,neuron,spiny-stellate
4823076755,L5,neuron,spiny-stellate
4839473227,L5,neuron,spiny-stellate
4852629019,L5,neuron,spiny-stellate
4896065848,L5,neuron,spiny-stellate
4897964007,L5,neuron,spiny-stellate
4924801658,L5,neuron,spiny-stellate
4926903194,L5,neuron,spiny-stellate
4938804262,L5,neuron,spiny-stellate
4955754739,L5,neuron,spiny-stellate
5027124405,L5,neuron,spiny-stellate
5028934840,L5,neuron,spiny-stellate
5042588326,L5,neuron,spiny-stellate
5055801374,L5,neuron,spiny-stellate
5114905708,L5,neuron,spiny-stellate
5115534039,L5,neuron,spiny-stellate
5115869424,L5,neuron,spiny-stellate
5144808371,L5,neuron,spiny-stellate
5159205830,L5,neuron,spiny-stellate
5174375994,L5,neuron,spiny-stellate
5231832117,L5,neuron,spiny-stellate
5247730833,L5,neuron,spiny-stellate
5248446458,L5,neuron,spiny-stellate
5348623756,L5,neuron,spiny-stellate
5376877616,L5,neuron,spiny-stellate
5377446229,L5,neuron,spiny-stellate
5377927964,L5,neuron,spiny-stellate
5406487849,L5,neuron,spiny-stellate
5595249249,L5,neuron,spiny-stellate
5624832585,L5,neuron,spiny-stellate
